Player Name	Adventurer Name	Adventurer URL	Spirit Core (Current)	Race	Sub-Race	Tier 1 Class	Tier 2 Class	Tier 3 Class	Exepdition Departure	Expedition Return	IP Lockout End
AShyMoth	Nia Prys	https://docs.google.com/spreadsheets/d/1qb04pLDsZNuq50Sq-tDp2sUJpRIi5afb/edit?usp=sharing&ouid=106887388069059291818&rtpof=true&sd=true	2345	Chimera	Phoenix	Mage	Onmyoji, Pyromancer, Faerie Light Eyes	​	5/8/2025	6/6/2025	6/10/2025
Sabbrewolf	Ash Avernus	https://docs.google.com/spreadsheets/d/1ojX3sOukLoDXhOyUPabbprUQRNBciDra/edit?usp=sharing&ouid=108812373200107551665&rtpof=true&sd=true	2300	Fae	Salamander	Fighter, Blacksmith	Forgemaster	​	5/8/2025	6/6/2025	6/10/2025
Teraval	Teraval Pinecone	https://docs.google.com/spreadsheets/d/1OAo0nb-a4Gi-oCY4gYOWqhOUsuPYArMs/edit?usp=sharing&ouid=102568176268617888070&rtpof=true&sd=true	1515	Fae	Pixie	Acolyte	Faerie Light Eyes, Priest	​			
Wizard of Poop	Woop	https://docs.google.com/spreadsheets/d/1lnh239BRRX4YFt2ltThsAPHjQSAIPQSH/edit?usp=sharing&ouid=112716252140882953803&rtpof=true&sd=true	1515	Human	Light	Mage, Ranger, Acolyte	​	​			
Beetle Swallower	Beetle Swallower	https://docs.google.com/spreadsheets/d/12kjQvC2vCo7Zym4zb8uU9zkZJ1916ejj/edit?usp=sharing&ouid=112970099103478293972&rtpof=true&sd=true	1825	Human	Divine Protection	Fighter	Curse Knight, Necromancer, Summoner, Berserker	​			
UnluckySloth	Marcus Wi Dalen	https://docs.google.com/spreadsheets/d/1yKhTGvSvMDE569LG621mA91FMUXz2L7z/edit?usp=sharing&ouid=117534912672684778244&rtpof=true&sd=true	1355	Demon	Wi	Ranger, Rogue	Saboteur	​			
Jay Spicer (Jack)	Jack	https://docs.google.com/spreadsheets/d/1W9Recbod6VIKgXjvor54IdeV65mzblbx/edit?usp=sharing&ouid=101021334597903651840&rtpof=true&sd=true	1390	Demon	Lir	Ranger, Rogue, Martial Artist	​	​			
GreenWold1337	Jerrick Blackoak	https://docs.google.com/spreadsheets/d/1FY9_gdEY2so2qChvEg3j8zfUmL_aNPjD/edit?usp=sharing&ouid=113867861088983561172&rtpof=true&sd=true	1000	Chimera	Wolf-folk	Fighter	Sword Paladin	​			
"""Don"" Bon Hopkins"	"""Don"" Bon Hopkins"	https://docs.google.com/spreadsheets/d/1JnCGIzLzcO-iQEmMhHdfxNwKGZWWiHA5pp4g-tAlCsg/edit?usp=sharing	1800	Chimera	Rabbitfolk	Fighter	​	​			
Vera V, Vermouth	Vera Vermillion Vermouth	https://docs.google.com/spreadsheets/d/13Gl7ritslRWhT0enMcVx5_0VMOg4Zoiv/edit?gid=1997331408#gid=1997331408	1000	Fae	Pixie	Rogue	Faerie Light Eyes	​			
Cali Bell (Feyrod)	Calia Bell	https://docs.google.com/spreadsheets/d/12iLp2YqzT4TEe_pD3jVJrgfBhnRh9KXq/edit?usp=drivesdk&ouid=118431694302210274652&rtpof=true&sd=true	1515	Chimera	Rabbitfolk	Mage, Martial Artist, Rogue, Adventurer	Thief	​	5/12/2025	5/21/2025	5/27/2025
Vim N Vigor	Pádraigín	https://docs.google.com/spreadsheets/d/1GqFLGCo-NuRpn5bmwd_AXZ96fcmmes8K/edit?usp=sharing&ouid=109138423568570624496&rtpof=true&sd=true	1375	Fae	Gnome	Rogue	Chronomancer	​			
Drogan Helmut	Drogan Helmut	https://docs.google.com/spreadsheets/d/1-QS3C7LX-UCZivvptGanaj1yh27QjlIy/edit?usp=sharing&ouid=104161008957320152258&rtpof=true&sd=true	2000	Fae	Dullahan	Fighter, Adventurer	Guardian	​	5/1/2025	5/15/2025	5/20/2025
Gein Hemlocke	Gein Hemlock	https://docs.google.com/spreadsheets/d/1CZ51ihYgL3y_LOLqF4hJ5gCur51is2ne/edit?gid=1997331408#gid=1997331408	2070	Chimera	Slimefolk	Fighter, Transmuter, Miner	Lancer	​			
Evenfall (Charre)	Evenfall	https://docs.google.com/spreadsheets/d/1yrDfMcsEzIFWPxEs7zTKxhub-lgLK45A/edit?usp=sharing&ouid=105313069251360998695&rtpof=true&sd=true	1635	Fae	Willo Wisp	Rogue	Faerie Light Eyes, Tactician	​			
Ruofei (Ando)	Ruofei	https://docs.google.com/spreadsheets/d/1kUKpaOaprz06bKnSEQLCwPT_DBkZp3qp/edit?usp=sharing&ouid=101529830063024907324&rtpof=true&sd=true	1000	Chimera	Red Pandafolk	Martial Artist	Gunslinger	​			
Florentino	Voltaire Schild	https://docs.google.com/spreadsheets/d/136ADhP8CtKerL8ZrwP_lDUcAxfbQmG6K/edit?gid=1997331408#gid=1997331408	1100	Human	Divine Protection	Acolyte, Fighter	Shield Paladin	​			
Ekkehard Adalwolf (Volki)	Ekkehard Adalwolf	https://docs.google.com/spreadsheets/d/1wW4hlXMfdCK_HZak2GiCpHRfPjsr7kqS0V72bK2x45M/edit?usp=sharing	1195	Chimera	Wolf-folk	Fighter	Guardian	​			
Iru Alfo (Moleren)	Iru Alfo	https://docs.google.com/spreadsheets/d/1_js6-IAvFu_YU0HuvDs4uzQcitRMRXe0/edit?gid=1997331408#gid=1997331408	1810	Youkai	Ancient Marionette	Fighter, Martial Artist, Ranger	​	​	5/2/2025	5/28/2025	6/3/2025
Buntaoo	Fuyuka Shimo	https://docs.google.com/spreadsheets/d/10Y8V6htFcTfB376VMgNmkd46xQgKCRxZ/edit?usp=sharing&ouid=101088453070518972549&rtpof=true&sd=true	2050	Youkai	Yuki-onna	Acolyte, Carpenter	Cryomancer, Geomancer	​	5/2/2025	5/28/2025	6/3/2025
Zero Terminus (Rue)	Zero Terminus	https://docs.google.com/spreadsheets/d/1mOHejPVdEomUUHq04856H2kMwbiwHIRx/edit?usp=sharing&ouid=102703316609933324765&rtpof=true&sd=true	1765	Human-Chimera	Phoenix	Ranger, Rogue, Adventurer	Animal Summoner, Aetherie	​			
Phantomxz	Sarah	https://docs.google.com/spreadsheets/d/1u0vbL_gKOOCWjTkPmgZz4hxK5EW5B5t7/edit?gid=1997331408#gid=1997331408	1265	Chimera	Centaur	Martial Artist, Rogue, Cavalier	​	​			
Kita Ro-Ro (Azorinth)	Kita Ro-Ro	https://docs.google.com/spreadsheets/d/1u5sb8Qo2yhtxmKVSfUXGllXKyTENJVsO/edit?usp=sharing&ouid=111118343248048018516&rtpof=true&sd=true	1000	Chimera	Dogfolk	Fighter	Guardian	​			
